薬局名,クローバー薬局　本店
集計期間開始日,2025/12/01
集計期間終了日,2026/02/28
集計開始時刻,
集計終了時刻,
時刻通し集計,0
出力順,医薬品名(昇順)
検索キー,
医療情報,
No,ID,処方薬種別,剤型,医薬品名,単位,麻薬,毒薬,ハイリスク,後発,使用回数,使用量,薬価,使用金額,レセコード,YJコード,後発区分,向精神薬,覚せい剤,劇薬,抗がん剤,制吐剤,RMP,選定療養
78,1668,0,内用,アムロジピン錠５ｍｇ「杏林」,錠,False,False,False,True,954,"61,927.0",10.4,644041,621853203,2171022F2440,3:後発品,False,False,True,False,False,False,False
79,482,0,内用,アムロジンＯＤ錠２．５ｍｇ,錠,False,False,False,False,4,287.0,11.3,3243,620003886,2171022F3021,2:先発品(後発あり),False,False,True,False,False,False,True
80,1823,0,内用,アメジニウムメチル硫酸塩錠１０ｍｇ「トーワ」,錠,False,False,False,True,1,6.0,6.4,38,621265001,2190022F1245,3:後発品,False,False,False,False,False,False,False
81,1166,0,内用,アメナリーフ錠２００ｍｇ,錠,False,False,False,False,25,310.0,"1,148.7",356097,622573501,6250046F1028,1:先発品(後発なし),False,False,False,False,False,False,False
82,1369,0,内用,アモキシシリンカプセル２５０ｍｇ「トーワ」,カプセル,False,False,False,False,12,203.0,10.4,2111,620009117,6131001M2335,:,False,False,False,False,False,False,False
83,1632,0,内用,アモキシシリン細粒２０％「ＴＣＫ」　２００ｍｇ,g,False,False,False,True,2,52.5,11.8,620,621072701,6131001C2119,3:後発品,False,False,False,False,False,False,False
84,686,0,外用,アラセナ－Ａ軟膏３％,g,False,False,False,False,28,165.0,132.8,21912,620008961,6250700M1189,2:先発品(後発あり),False,False,False,False,False,False,True
85,1672,0,外用,アラミスト点鼻液２７．５μｇ１２０噴霧用　５ｍｇ１０ｇ,キット,False,False,False,False,1,2.0,"1,807.0",3614,622680401,1329711Q2028,2:先発品(後発あり),False,False,False,False,False,False,True
86,386,0,内用,アリセプトＤ錠５ｍｇ,錠,False,False,False,False,2,175.0,76.1,13318,620001923,1190012F4025,2:先発品(後発あり),False,False,True,False,False,False,True
87,598,0,内用,アルサルミン内用液１０％,mL,False,False,False,False,1,910.0,1.9,1729,620006834,2329008S1105,2:先発品(後発あり),False,False,False,False,False,False,True
88,524,0,内用,アルダクトンＡ錠２５ｍｇ,錠,False,False,False,False,2,147.0,13.1,1926,620004915,2133001F1522,　:準先発品,False,False,False,False,False,False,True
89,213,0,内用,アルドメット錠　２５０ｍｇ,錠,False,False,False,False,2,453.0,16.8,7610,612140620,2145001F2040,1:先発品(後発なし),False,False,False,False,False,False,False
90,1865,0,内用,アルファカルシドールカプセル０．２５μｇ「トーワ」,カプセル,False,False,False,True,6,314.0,6.1,1915,620675910,3112001M1305,3:後発品,False,False,True,False,False,False,False
91,1838,0,内用,アルファカルシドールカプセル０．５μｇ「トーワ」,カプセル,False,False,False,True,18,"1,075.0",6.1,6558,620676313,3112001M2360,3:後発品,False,False,True,False,False,False,False
92,1839,0,内用,アルファカルシドールカプセル１μｇ「トーワ」,カプセル,False,False,False,True,14,796.0,6.1,4856,620676815,3112001M3359,3:後発品,False,False,True,False,False,False,False
93,258,0,内用,アルファロールカプセル０．５μｇ,カプセル,False,False,False,False,5,284.0,6.9,1960,613110002,3112001M2069,2:先発品(後発あり),False,False,True,False,False,False,True
94,2005,0,内用,アルプラゾラム錠０．４ｍｇ「アメル」,錠,False,False,False,True,32,"1,274.0",5.9,7517,620049801,1124023F1126,3:後発品,True,False,False,False,False,False,False
95,756,0,内用,アルロイドＧ内用液５％,mL,False,False,False,False,2,"1,320.0",1.04,1373,620456601,2329116S1094,:,False,False,False,False,False,False,False
96,499,0,内用,アレグラ錠３０ｍｇ,錠,False,False,False,False,6,182.0,20.4,3713,620004412,4490023F2020,2:先発品(後発あり),False,False,False,False,False,False,False
97,56,0,内用,アレグラ錠６０ｍｇ,錠,False,False,False,False,46,"5,786.0",26.1,151015,610443040,4490023F1024,2:先発品(後発あり),False,False,False,False,False,False,False
98,1378,0,外用,アレジオンＬＸ点眼液０．１％,mL,False,False,False,False,46,420.0,493.0,207060,622695901,1319762Q2024,2:先発品(後発あり),False,False,False,False,False,False,False
99,1835,0,外用,アレジオン眼瞼クリーム０．５％,g,False,False,False,False,6,16.0,"1,686.7",26987,622965501,1319762N1021,1:先発品(後発なし),False,False,False,False,False,False,False
100,282,0,内用,アレジオン錠　１０ｍｇ,錠,False,False,False,False,3,84.0,17.1,1436,614490029,4490014F1025,2:先発品(後発あり),False,False,False,False,False,False,True
101,283,0,内用,アレジオン錠　２０ｍｇ,錠,False,False,False,False,12,520.0,22.3,11596,614490030,4490014F2021,2:先発品(後発あり),False,False,False,False,False,False,True
102,944,0,内用,アレロックＯＤ錠５　５ｍｇ,錠,False,False,False,False,9,591.0,20.7,12234,622014201,4490025F4022,2:先発品(後発あり),False,False,False,False,False,False,True
103,988,0,内用,アレロック顆粒０．５％,g,False,False,False,False,1,120.0,28.4,3408,622090301,4490025D1022,2:先発品(後発あり),False,False,False,False,False,False,True
104,1848,0,内用,アレンドロン酸錠３５ｍｇ「ＴＣＫ」,錠,False,False,False,True,29,271.0,99.2,26883,622222201,3999018F2125,3:後発品,False,False,True,False,False,False,False
105,770,0,内用,アローゼン顆粒／０．５,g,False,False,False,False,18,563.5,6.7,3775,620491801,2359102X1072,:,False,False,False,False,False,False,False
106,733,0,内用,アロチノロール塩酸塩錠１０ｍｇ「ＤＳＰ」,錠,False,False,True,False,16,845.0,13.2,11154,620255302,2123014F2201,2:先発品(後発あり),False,False,False,False,False,False,True
107,2128,0,内用,アロチノロール塩酸塩錠１０ｍｇ「ＪＧ」,錠,False,False,True,True,1,154.0,7.6,1170,620255417,2123014F2210,3:後発品,False,False,False,False,False,False,False
108,1473,0,内用,アロチノロール塩酸塩錠５ｍｇ「ＤＳＰ」,錠,False,False,True,False,3,228.0,8.8,2006,620255102,2123014F1094,2:先発品(後発あり),False,False,False,False,False,False,False
109,1698,0,内用,アロプリノール錠１００ｍｇ「ニプロ」,錠,False,False,False,True,90,"8,612.0",10.4,89565,620856403,3943001F1721,3:後発品,False,False,False,False,False,False,False
110,1690,0,内用,アロプリノール錠５０ｍｇ「ニプロ」,錠,False,False,False,True,19,"1,026.0",10.4,10670,622018603,3943001F2370,★:後発品(同額以上),False,False,False,False,False,False,False
111,105,0,内用,アロマシン錠２５ｍｇ,錠,False,False,True,False,1,90.0,149.9,13491,610462026,4291012F1022,2:先発品(後発あり),False,False,False,True,False,False,True
112,200,0,内用,アンカロン錠　１００ｍｇ,錠,False,True,True,False,5,184.0,73.6,13542,612120358,2129010F1022,2:先発品(後発あり),False,False,False,False,False,False,True
113,687,0,外用,アンテベート軟膏０．０５％,g,False,False,False,False,58,"3,720.0",18.9,70308,620008965,2646730M1059,基:基礎的医薬品,False,False,True,False,False,False,False
114,1216,0,外用,アンテベートローション０．０５％,g,False,False,False,False,107,"5,330.0",18.9,100737,660463005,2646730Q1026,基:基礎的医薬品,False,False,True,False,False,False,False
115,429,0,外用,アンヒバ坐剤小児用１００ｍｇ,個,False,False,False,False,5,23.0,20.9,481,620002621,1141700J2130,☆:先発品(同額以下),False,False,False,False,False,False,False
116,430,0,外用,アンヒバ坐剤小児用２００ｍｇ,個,False,False,False,False,3,25.0,20.9,523,620002622,1141700J3110,☆:先発品(同額以下),False,False,False,False,False,False,False
117,273,0,内用,アンプラーグ錠１００ｍｇ,錠,False,False,False,False,1,84.0,52.6,4418,613390027,3399006F2022,2:先発品(後発あり),False,False,False,False,False,False,True
118,2044,0,内用,アンブロキソール塩酸塩ＤＳ小児用１．５％「タカタ」,g,False,False,False,True,30,345.15,19.4,6696,620390701,2239001R1129,3:後発品,False,False,False,False,False,False,False
119,1988,0,内用,アンブロキソール塩酸塩錠１５ｍｇ「日新」,錠,False,False,False,True,105,"3,592.0",5.9,21193,620389404,2239001F1742,3:後発品,False,False,False,False,False,False,False
120,1883,0,内用,アンブロキソール塩酸塩シロップ小児用０．３％「トーワ」,mL,False,False,False,True,19,542.5,5.4,2930,621268301,2239001Q1182,3:後発品,False,False,False,False,False,False,False
121,1395,0,内用,イグザレルトＯＤ錠１０ｍｇ,錠,False,False,True,False,27,"1,607.0",331.6,532881,622829001,3339003F3027,2:先発品(後発あり),False,False,False,False,False,False,False
122,1371,0,内用,イグザレルトＯＤ錠１５ｍｇ,錠,False,False,True,False,29,"1,995.0",442.3,882389,622829101,3339003F4023,2:先発品(後発あり),False,False,False,False,False,False,False
123,1997,0,内用,イコサペント酸エチルカプセル３００ｍｇ「トーワ」,カプセル,False,False,False,True,4,322.0,12.5,4025,620817001,3399004M1409,3:後発品,False,False,False,False,False,False,False
124,649,0,内用,イコサペント酸エチル粒状カプセル９００ｍｇ「ＴＣ」,包,False,False,False,True,23,"3,203.0",41.2,131964,620007897,3399004M4041,3:後発品,False,False,False,False,False,False,False
125,648,0,内用,イコサペント酸エチル粒状カプセル６００ｍｇ「ＴＣ」,包,False,False,False,True,13,"1,820.0",29.4,53508,620007893,3399004M3045,3:後発品,False,False,False,False,False,False,False
126,688,0,外用,イソジンガーグル液７％,mL,False,False,False,False,3,90.0,3.1,279,620008969,2260701F1271,基:基礎的医薬品,False,False,False,False,False,False,False
127,834,0,内用,一硝酸イソソルビド錠２０ｍｇ「トーワ」,錠,False,False,False,True,15,"1,409.0",7.9,11131,621471401,2171023F2135,3:後発品,False,False,False,False,False,False,False
128,2054,0,内用,イトプリド塩酸塩錠５０ｍｇ「サワイ」,錠,False,False,False,True,7,"1,173.0",6.1,7155,620007904,2399008F1110,3:後発品,False,False,False,False,False,False,False
129,941,0,外用,イナビル吸入粉末剤２０ｍｇ,キット,False,False,False,False,90,177.0,"2,098.1",371364,622012101,6250703G1022,1:先発品(後発なし),False,False,False,False,False,False,False
130,2051,0,内用,イノソリッド配合経腸用半固形剤,g,False,False,False,False,9,"195,000.0",1.44,280800,622952701,3259121T1021,1:先発品(後発なし),False,False,False,False,False,False,False
131,1195,0,内用,イノラス配合経腸用液／187.5ml　187.5mL/包,mL,False,False,False,False,3,"47,250.0",1.41,66623,622676401,3259120S1021,1:先発品(後発なし),False,False,False,False,False,False,False
132,1493,0,内用,イフェンプロジル酒石酸塩錠２０ｍｇ「ツルハラ」,錠,False,False,False,True,6,614.0,6.1,3745,620352409,2190005F2221,3:後発品,False,False,False,False,False,False,False
133,75,0,内用,イミグラン錠５０,錠,False,False,False,False,2,20.0,283.8,5676,610451012,2160003F1022,2:先発品(後発あり),False,False,True,False,False,False,True
134,1793,0,内用,イミダフェナシンＯＤ錠０．１ｍｇ「杏林」,錠,False,False,False,True,3,406.0,16.3,6618,622697901,2590013F2074,3:後発品,False,False,False,False,False,False,False
135,1934,0,内用,イミダプリル塩酸塩錠５ｍｇ「トーワ」,錠,False,False,False,True,3,230.0,15.1,3473,620008462,2144008F2150,3:後発品,False,False,False,False,False,False,False
136,1329,0,内用,イリボーＯＤ錠２．５μｇ,錠,False,False,False,False,7,424.0,37.3,15815,622267601,2399014F3029,1:先発品(後発なし),False,False,True,False,False,False,False
137,663,0,内用,イリボー錠５μｇ,錠,False,False,False,False,12,462.0,61.0,28182,620008436,2399014F2022,1:先発品(後発なし),False,False,True,False,False,False,False
138,1811,0,内用,イルアミクス配合錠ＨＤ「オーハラ」,錠,False,False,False,True,6,245.0,20.0,4900,622632101,2149118F2085,3:後発品,False,False,True,False,False,False,False
139,1819,0,内用,イルアミクス配合錠ＬＤ「オーハラ」,錠,False,False,False,True,8,510.0,17.3,8823,622632001,2149118F1089,3:後発品,False,False,True,False,False,False,False
140,1182,0,内用,イルベサルタン錠１００ｍｇ「オーハラ」,錠,False,False,False,True,83,"4,710.0",17.3,81483,622594201,2149046F2070,3:後発品,False,False,False,False,False,False,False
141,1964,0,内用,イルベサルタン錠５０ｍｇ「オーハラ」,錠,False,False,False,True,6,402.5,10.4,4186,622594101,2149046F1074,3:後発品,False,False,False,False,False,False,False
142,595,0,内用,イルベタン錠１００ｍｇ,錠,False,False,False,False,1,91.0,40.4,3676,620006797,2149046F2038,2:先発品(後発あり),False,False,False,False,False,False,True
143,594,0,内用,イルベタン錠５０ｍｇ,錠,False,False,False,False,2,140.0,21.9,3066,620006796,2149046F1031,2:先発品(後発あり),False,False,False,False,False,False,True
144,566,0,内用,インクレミンシロップ５％,mL,False,False,False,True,1,250.0,6.4,1600,620005924,3222012Q1030,3:後発品,False,False,False,False,False,False,False
145,749,0,外用,インタール吸入液１％　２ｍＬ,管,False,False,False,False,4,150.0,25.9,3885,620410401,2259701G1063,☆:先発品(同額以下),False,False,False,False,False,False,False
146,1152,0,内用,インチュニブ錠１ｍｇ,錠,False,False,True,False,1,120.0,398.8,47856,622546701,1179057G1021,1:先発品(後発なし),False,False,True,False,False,True,False
147,628,0,外用,インテバンクリーム１％,g,False,False,False,False,2,600.0,3.3,1980,620007600,2649719N1106,1:先発品(後発なし),False,False,False,False,False,False,False
148,190,0,内用,インデラル錠１０ｍｇ,錠,False,False,True,False,4,798.0,10.4,8299,612120016,2123008F1048,　:準先発品,False,False,True,False,False,False,True
149,567,0,内用,ウブレチド錠５ｍｇ,錠,False,True,False,False,4,243.0,12.9,3135,620005925,1231014F1054,1:先発品(後発なし),False,False,False,False,False,False,False
